gt_L_r,gt_L_g,gt_L_b,gt_T_r,gt_T_g,gt_T_b,pred_L_r,pred_L_g,pred_L_b,pred_T_r,pred_T_g,pred_T_b
0,0,0,0.970136,0.940974,1,0,0,0,1,0.970909,0.730963
0,0,0,1,0.951499,1,0,0,0,1,0.962321,0.714329
0,0,0,0,0,0,0,0,0,0.997317,0.949669,0.738858
0,0,0,0,0,0,0,0,0,0.988885,0.940024,0.748536
0,0,0,1,0.950101,1,0,0,0,0.999998,0.955068,0.710729
0,0,0,1,0.933227,0.57425,0,0,0,0.999999,0.930205,0.679391
0,0,0,1,0.972227,0.201833,0,0,0,0.999998,0.977023,0.734691
0,0,0,1,0.947152,1,0,0,0,1,0.964522,0.740925
0,0,0,1,0.9195,1,0,0,0,0.913058,0.881615,0.703957
0,0,0,0,0,0,0,0,0,0.999988,0.925634,0.679391
0,0,0,0.987963,0.912839,1,0,0,0,1,0.976891,0.715225
0,0,0,1,0.939741,0.61784,0,0,0,0.99251,0.98599,0.866585
0,0,0,0.994588,0.950339,0.852199,0,0,0,1,0.95877,0.73431
0,0,0,1,0.93747,0.462252,0,0,0,0.999877,0.946597,0.723407
0,0,0,1,0.962881,0.202728,0,0,0,0.999982,0.925095,0.677794
0,0,0,0.966389,0.94477,1,0,0,0,0.999996,0.963712,0.742795
0,0,0,1,0.965853,0.227605,0,0,0,0.881411,0.837221,0.619817
0,0,0,1,0.957359,1,0,0,0,0.995702,0.971184,0.805326
0,0,0,0,0,0,0,0,0,0.991221,0.924959,0.689933
0.139302,0.0201154,0,1,0.98015,0.224562,0,0,0,0.818156,0.779658,0.569972
0,0,0,1,0.954044,1,0,0,0,0.952926,0.923039,0.758153
0,0,0,1,0.953651,0.246271,0,0,0,1,0.960878,0.73848
0,0,0,1,0.939417,1,0,0,0,1,0.969613,0.744471
0,0,0,0.987747,0.971224,0.638354,0,0,0,1,0.960212,0.730866
0,0,0,0,0,0,0,0,0,0.91804,0.888566,0.699768
0,0,0,0.977793,0.934657,1,0,0,0,1,0.972046,0.744656
0,0,0,1,0.910677,1,0,0,0,1,0.968081,0.722723
0,0,0,1,0.944591,1,0,0,0,1,0.970854,0.736211
0,0,0,0,0,0,0,0,0,0.965512,0.932453,0.72086
0,0,0,0.99287,0.908631,1,0,0,0,1,0.956715,0.731634
0,0,0,1,0.949103,1,0,0,0,0.99998,0.95846,0.708515
0,0,0,1,0.949616,1,0,0,0,0.999998,0.965771,0.735642
0,0,0,0,0,0,0,0,0,0.918187,0.879147,0.724188
0,0,0,1,0.982157,0.21169,0,0,0,1,0.947866,0.692538
0,0,0,1,0.933642,1,0,0,0,0.999999,0.96622,0.745584
0,0,0,0.967668,0.92897,1,0,0,0,0.999975,0.949012,0.701611
0,0,0,1,0.954983,1,0,0,0,0.999997,0.968201,0.711431
0,0,0,1,0.939377,1,0,0,0,0.999993,0.966028,0.7237
0,0,0,1,0.931687,0.616333,0,0,0,0.880797,0.852445,0.626467
0,0,0,1,0.931671,1,0,0,0,0.999897,0.953362,0.730866
0,0,0,1,0.934018,0.835544,0,0,0,1,0.977197,0.722821
0,0,0,0,0,0,0,0,0,0.976356,0.939359,0.76366
0,0,0,1,0.963453,0.243127,0,0,0,0.999878,0.955899,0.712232
0,0,0,0.994486,0.912837,1,0,0,0,1,0.971238,0.727975
0,0,0,1,0.933442,0.575689,0,0,0,1,0.973342,0.721547
0,0,0,1,0.922707,1,0,0,0,0.984869,0.961893,0.814496
0,0,0,1,0.919402,1,0,0,0,0.999992,0.955569,0.745213
0,0,0,1,0.937992,1,0,0,0,0.919063,0.863046,0.689724
0,0,0,0.99217,0.908302,1,0,0,0,0.993385,0.967287,0.789883
0,0,0,1,0.96354,0.242812,0,0,0,0.999979,0.935346,0.711832
0,0,0,1,0.933987,0.833312,0,0,0,0.997274,0.950778,0.765418
0,0,0,1,0.95724,1,0,0,0,1,0.97419,0.727975
0,0,0,1,0.965574,1,0,0,0,1,0.982823,0.718496
0,0,0,1,0.934702,0.789963,0,0,0,0.999992,0.960212,0.710427
0,0,0,1,0.97556,0.2016,0,0,0,0.999915,0.956145,0.736969
0,0,0,1,0.933502,0.980332,0,0,0,0.999998,0.940134,0.684475
0,0,0,1,0.948762,0.310758,0,0,0,1,0.969728,0.737347
0,0,0,0,0,0,0,0,0,0.923039,0.877161,0.687105
0,0,0,1,0.94695,0.499868,0,0,0,0.984094,0.920932,0.718298
0,0,0,1,0.981533,0.201589,0,0,0,1,0.973993,0.728941
0,0,0,0.966092,0.944708,1,0,0,0,0.999999,0.936518,0.705582
0,0,0,1,0.9985,0.23159,0,0,0,1,0.945298,0.714429
0,0,0,1,0.946608,1,0,0,0,0.999976,0.927232,0.679923
0,0,0,1,0.935726,1,0,0,0,0.999986,0.952486,0.730482
0,0,0,1,0.938988,1,0,0,0,1,0.974821,0.733547
0,0,0,1,0.9417,0.536111,0,0,0,0.888372,0.840652,0.659405
0,0,0,0.965791,0.935563,1,0,0,0,0.871365,0.844024,0.641871
0,0,0,1,0.980083,0.198346,0,0,0,0.955651,0.93196,0.752922
0,0,0,1,0.940573,1,0,0,0,0.999898,0.955734,0.735642
0,0,0,1,0.984139,0.254508,0,0,0,0.998225,0.906983,0.674587
0,0,0,0.967684,0.928975,1,0,0,0,0.999999,0.976401,0.760651
0,0,0,1,0.941549,1,0,0,0,0.999877,0.963231,0.725357
0,0,0,1,0.936222,0.748057,0,0,0,0.999989,0.952838,0.714429
0,0,0,1,0.982507,0.225645,0,0,0,1,0.953013,0.704872
0,0,0,1,0.943712,1,0,0,0,1,0.971293,0.738103
0,0,0,1,0.939446,1,0,0,0,1,0.947672,0.695441
0,0,0,1,0.936397,0.499356,0,0,0,1,0.971347,0.746139
0,0,0,1,0.939352,1,0,0,0,1,0.948346,0.701611
0,0,0,1,0.926519,0.699149,0,0,0,1,0.962673,0.751648
0,0,0,1,0.979973,0.197837,0,0,0,0.989909,0.89275,0.667148
0,0,0,1,0.938552,0.428071,0,0,0,0.997232,0.96862,0.794066
0,0,0,0,0,0,0,0,0,0.985882,0.968381,0.769946
0,0,0,0,0,0,0,0,0,0.999994,0.958148,0.710126
0,0,0,0,0,0,0,0,0,0.999999,0.934753,0.689933
0,0,0,1,0.927687,0.656756,0,0,0,0.999968,0.943971,0.715225
0,0,0,1,0.933267,0.885239,0,0,0,0.993537,0.890103,0.669853
0,0,0,0.992683,0.930615,1,0,0,0,0.999991,0.922622,0.672439
0,0,0,1,0.946106,1,0,0,0,1,0.967225,0.750553
0,0,0,1,0.945024,1,0,0,0,0.998988,0.952574,0.715026
0,0,0,0,0,0,0,0,0,0.999304,0.94366,0.731059
0,0,0,0.981157,0.94523,1,0,0,0,0.999999,0.965512,0.74055
0,0,0,0.993977,0.912705,1,0,0,0,1,0.942929,0.685844
0,0,0,1,0.934789,1,0,0,0,1,0.957118,0.708313
0,0,0,0,0,0,0,0,0,0.889912,0.859782,0.685107
0,0,0,1,0.969209,0.588424,0,0,0,0.999695,0.945197,0.741861
0,0,0,0,0,0,0,0,0,0.939248,0.919063,0.741674
0,0,0,0.99325,0.919901,1,0,0,0,1,0.964656,0.741487
0,0,0,1,0.933265,0.883865,0,0,0,0.999999,0.938576,0.688154
0,0,0,1,0.919912,1,0,0,0,0.999998,0.936052,0.699562
0,0,0,1,1,0.266705,0,0,0,0.999998,0.93744,0.68215
0,0,0,1,0.933815,0.879738,0,0,0,0.999933,0.930962,0.688783
0,0,0,1,0.982142,0.211596,0,0,0,0.999995,0.963643,0.718496
0,0,0,1,0.940263,1,0,0,0,1,0.958069,0.742795
0,0,0,1,0.998516,0.231736,0,0,0,0.992568,0.899828,0.696165
0,0,0,1,0.935726,0.699706,0,0,0,0.999965,0.925095,0.680348
0,0,0,0,0,0,0,0,0,0.771499,0.740737,0.546012
0,0,0,0.969261,0.936639,1,0,0,0,0.999917,0.955319,0.733738
0,0,0,1,0.944807,1,0,0,0,0.998968,0.957437,0.731826
0,0,0,1,0.939644,0.617018,0,0,0,0.996984,0.967225,0.774071
0,0,0,1,0.998407,0.210828,0,0,0,1,0.941007,0.687945
