testMse:0.1279751,testPSNR:25.716742,mse:0.7329689,ema:0.7329689,time:0.151842532,frame:0
testMse:0.068750456,testPSNR:28.415241,mse:0.17197263,ema:0.19783512,time:0.9073623569999998,frame:500
testMse:0.06807096,testPSNR:28.458376,mse:0.17695585,ema:0.17173094,time:1.6625115579999983,frame:1000
testMse:0.06455581,testPSNR:28.688643,mse:0.20096952,ema:0.19745737,time:2.4175679049999976,frame:1500
testMse:0.06623745,testPSNR:28.576962,mse:0.20491984,ema:0.20461644,time:3.1738441959999957,frame:2000
testMse:0.06703969,testPSNR:28.524675,mse:0.2074214,ema:0.20749404,time:3.9306127919999967,frame:2500
testMse:0.06721988,testPSNR:28.513016,mse:0.21305554,ema:0.20946032,time:4.68772101299999,frame:3000
testMse:0.067075364,testPSNR:28.522366,mse:0.20756076,ema:0.20982955,time:5.444530782999998,frame:3500
testMse:0.06710945,testPSNR:28.52016,mse:0.20997599,ema:0.2107852,time:6.200963403,frame:4000
testMse:0.066801324,testPSNR:28.540144,mse:0.2128628,ema:0.21080875,time:6.9603213209999915,frame:4500
testMse:0.06644157,testPSNR:28.563597,mse:0.20895441,ema:0.21049508,time:7.7184597289999894,frame:5000
testMse:0.06594475,testPSNR:28.596193,mse:0.20752254,ema:0.20987847,time:8.478195296000003,frame:5500
testMse:0.065691404,testPSNR:28.61291,mse:0.21149826,ema:0.21021843,time:9.235606997,frame:6000
testMse:0.06572286,testPSNR:28.61083,mse:0.2091549,ema:0.2088314,time:9.994167803999993,frame:6500
testMse:0.06569699,testPSNR:28.612541,mse:0.20741493,ema:0.2080893,time:10.755272277000001,frame:7000
testMse:0.06578829,testPSNR:28.60651,mse:0.20841123,ema:0.20848046,time:11.51542864500003,frame:7500
testMse:0.06585332,testPSNR:28.602219,mse:0.21186827,ema:0.20853937,time:12.275051105000017,frame:8000
testMse:0.06575174,testPSNR:28.608923,mse:0.2077814,ema:0.20885466,time:13.034664048000009,frame:8500
testMse:0.06572593,testPSNR:28.610628,mse:0.20901804,ema:0.20821978,time:13.793979263000004,frame:9000
testMse:0.06555939,testPSNR:28.621647,mse:0.20804559,ema:0.20882389,time:14.553752460999997,frame:9500
testMse:0.065471105,testPSNR:28.627499,mse:0.21205178,ema:0.21018746,time:15.313406707999984,frame:10000
testMse:0.065498166,testPSNR:28.625702,mse:0.20620081,ema:0.20928662,time:16.076311495,frame:10500
testMse:0.06540908,testPSNR:28.631615,mse:0.2106806,ema:0.20976901,time:16.8351094,frame:11000
testMse:0.06522776,testPSNR:28.64367,mse:0.20634502,ema:0.20944056,time:17.59190078299997,frame:11500
testMse:0.06523798,testPSNR:28.64299,mse:0.21335581,ema:0.21042761,time:18.348182125000008,frame:12000
testMse:0.065100186,testPSNR:28.652174,mse:0.21104361,ema:0.20984772,time:19.10591518899997,frame:12500
testMse:0.06496352,testPSNR:28.6613,mse:0.2079814,ema:0.20942234,time:19.862826890999983,frame:13000
testMse:0.06483361,testPSNR:28.669994,mse:0.21040022,ema:0.20940693,time:20.61972202999998,frame:13500
testMse:0.064717345,testPSNR:28.677788,mse:0.21290188,ema:0.20975716,time:21.377197557999967,frame:14000
testMse:0.06464336,testPSNR:28.682756,mse:0.21133284,ema:0.21010722,time:22.13531685499994,frame:14500
testMse:0.06440354,testPSNR:28.698898,mse:0.20953718,ema:0.20943187,time:22.8923971109999,frame:15000
testMse:0.06431185,testPSNR:28.705086,mse:0.21070255,ema:0.20980497,time:23.64985793499989,frame:15500
testMse:0.06431854,testPSNR:28.704634,mse:0.21009071,ema:0.20983794,time:24.4068393979999,frame:16000
testMse:0.064099,testPSNR:28.719482,mse:0.21134415,ema:0.21067902,time:25.163981194999923,frame:16500
testMse:0.06412378,testPSNR:28.717804,mse:0.21195124,ema:0.20972548,time:25.92101169599988,frame:17000
testMse:0.064015165,testPSNR:28.725166,mse:0.20952652,ema:0.20986563,time:26.678846086999847,frame:17500
testMse:0.06376386,testPSNR:28.742249,mse:0.20953766,ema:0.20999034,time:27.435630363999834,frame:18000
testMse:0.063778795,testPSNR:28.741234,mse:0.21049422,ema:0.21023771,time:28.19320997699985,frame:18500
testMse:0.06361725,testPSNR:28.752247,mse:0.2112941,ema:0.21040235,time:28.950342796999838,frame:19000
testMse:0.06353557,testPSNR:28.757828,mse:0.2087101,ema:0.20991163,time:29.707947663999825,frame:19500
testMse:0.06342381,testPSNR:28.76547,mse:0.20940404,ema:0.2099927,time:30.46600426199984,frame:20000
testMse:0.06327413,testPSNR:28.775734,mse:0.21029724,ema:0.2102436,time:31.224619209999826,frame:20500
testMse:0.06315876,testPSNR:28.78366,mse:0.2083329,ema:0.20992486,time:31.984135625999834,frame:21000
testMse:0.06327767,testPSNR:28.775492,mse:0.2111919,ema:0.21089542,time:32.74807639699979,frame:21500
testMse:0.06313529,testPSNR:28.785275,mse:0.2107658,ema:0.21037896,time:33.51266456399979,frame:22000
testMse:0.06303512,testPSNR:28.79217,mse:0.20729898,ema:0.2100788,time:34.27324492699979,frame:22500
testMse:0.0629287,testPSNR:28.799507,mse:0.20925981,ema:0.20971775,time:35.03194304599983,frame:23000
testMse:0.062793076,testPSNR:28.808878,mse:0.21177258,ema:0.21074004,time:35.790416973999875,frame:23500
testMse:0.062716864,testPSNR:28.814152,mse:0.20915163,ema:0.2099803,time:36.54954580899989,frame:24000
testMse:0.0625502,testPSNR:28.82571,mse:0.20824952,ema:0.21038559,time:37.30903844899985,frame:24500
testMse:0.062483545,testPSNR:28.83034,mse:0.20948114,ema:0.20977333,time:38.0685556939998,frame:25000
